date,book,price
2025-12-31 20:00,Superman: The Last Days of Lex Luthor,Rs.5659
2025-12-31 20:00,Thor By Jason Aaron Omnibus (Volume 1),Rs.23771
2025-12-31 20:00,Thor By Jason Aaron Omnibus (Volume 2),Rs.28084
2025-12-31 20:00,Wolverine By Jason Aaron Omnibus Vol. 1 David Finch Cover [New Printing],Rs.18896
2025-12-31 20:00,Wolverine Goes To Hell Omnibus Jae Lee Cover [New Printing],Rs.24034
2025-12-31 20:00,Thor By Straczynski & Gillen Omnibus,Rs.24634
2025-12-31 20:00,Loki: God Of Stories Omnibus,Rs.23996
2025-12-31 20:00,Lucifer Omnibus Vol. 1 (The Sandman Universe Classics),Rs.23471
2025-12-31 20:00,Lucifer Omnibus Vol. 2 (The Sandman Universe Classics),Rs.23359
2025-12-31 20:00,The Planetary Omnibus,Rs.12071
2025-12-31 20:00,Death: The Deluxe Edition (2022 Edition),Rs.6146
2025-12-31 20:00,Batman By Paul Dini Omnibus (New Edition),Rs.22909
2025-12-31 20:00,Absolute Superman For All Seasons,Rs.18671
2025-12-31 20:00,Gotham Central Omnibus (2022 Edition),Rs.18784
2025-12-31 20:00,The Animal Man Omnibus (2022 Edition),Rs.18071
2025-12-31 20:00,Absolute Kingdom Come (New Edition),Rs.19421
2025-12-31 20:00,Alice In Borderland (Volume 1),Rs.4459
2025-12-31 20:00,Alice In Borderland (Volume 2),Rs.3634
2025-12-31 20:00,Alice In Borderland (Volume 3),Rs.3671
2025-12-31 20:00,Alice In Borderland (Volume 4),Rs.3371
2025-12-31 20:00,Alice In Borderland (Volume 5),Rs.3484
2025-12-31 20:00,"Alice In Borderland, Vol. 6",Rs.3859
2025-12-31 20:00,"Alice In Borderland, Vol. 7",Rs.3821
2025-12-31 20:00,"Alice In Borderland, Vol. 8",Rs.3859
2025-12-31 20:00,"Alice In Borderland, Vol. 9",Rs.4571
2025-12-31 20:00,Noel: Batman (Volume 1),Rs.3971
2025-12-31 20:00,The Count Of Monte Cristo (Penguin Clothbound Classics),Rs.3259
2025-12-31 20:00,Superior Spider-Man Omnibus Vol. 1,Rs.23884
2025-12-31 20:00,Doctor Strange By Jed Mackay Omnibus,Rs.19609
2025-12-31 20:00,Hawkeye By Fraction & Aja Omnibus [New Printing],Rs.18409
2025-12-31 20:00,Batman: Omnibus (Volume 1),Rs.25121
2025-12-31 20:00,Batman By Jeph Loeb & Tim Sale Omnibus,Rs.23884
2025-12-31 20:00,Batman: Hush 20th Anniversary Edition (Volume 58),Rs.9371
2025-12-31 20:00,Absolute Justice League: The World’S Greatest Super‑Heroes By Alex Ross & Paul Dini (New Edition),Rs.19234
2025-12-31 20:00,Absolute DC: The New Frontier (2025 Edition),Rs.23434
2025-12-31 20:00,Superman By Kurt Busiek Book One,Rs.9521
2025-12-31 20:00,Superman By Kurt Busiek Book Two,Rs.9484
2025-12-31 20:00,Superman: Birthright The Deluxe Edition (Volume 1),Rs.9259
2025-12-31 20:00,Vision: The Complete Collection,Rs.5584
2025-12-31 20:00,Spider-Man By Chip Zdarsky Omnibus,Rs.23846
2025-12-31 20:00,The Batman Who Laughs,Rs.5696
2025-12-31 20:00,Superman Smashes The Klan,Rs.3221
2025-12-31 20:00,Batman By Darwyn Cooke: Absolute Edition,Rs.16496
2025-12-31 20:00,Green Lantern: Earth One (Volume 1),Rs.4721
2025-12-31 20:09,Superman: The Last Days of Lex Luthor,Rs.5659
2025-12-31 20:09,Thor By Jason Aaron Omnibus (Volume 1),Rs.23771
2025-12-31 20:09,Thor By Jason Aaron Omnibus (Volume 2),Rs.28084
2025-12-31 20:09,Wolverine By Jason Aaron Omnibus Vol. 1 David Finch Cover [New Printing],Rs.18896
2025-12-31 20:09,Wolverine Goes To Hell Omnibus Jae Lee Cover [New Printing],Rs.24034
2025-12-31 20:09,Thor By Straczynski & Gillen Omnibus,Rs.24634
2025-12-31 20:09,Loki: God Of Stories Omnibus,Rs.23996
2025-12-31 20:09,Lucifer Omnibus Vol. 1 (The Sandman Universe Classics),Rs.23471
2025-12-31 20:09,Lucifer Omnibus Vol. 2 (The Sandman Universe Classics),Rs.23359
2025-12-31 20:09,The Planetary Omnibus,Rs.12071
2025-12-31 20:09,Death: The Deluxe Edition (2022 Edition),Rs.6146
2025-12-31 20:09,Batman By Paul Dini Omnibus (New Edition),Rs.22909
2025-12-31 20:09,Absolute Superman For All Seasons,Rs.18671
2025-12-31 20:09,Gotham Central Omnibus (2022 Edition),Rs.18784
2025-12-31 20:09,The Animal Man Omnibus (2022 Edition),Rs.18071
2025-12-31 20:09,Absolute Kingdom Come (New Edition),Rs.19421
2025-12-31 20:09,Alice In Borderland (Volume 1),Rs.4459
2025-12-31 20:09,Alice In Borderland (Volume 2),Rs.3634
2025-12-31 20:09,Alice In Borderland (Volume 3),Rs.3671
2025-12-31 20:09,Alice In Borderland (Volume 4),Rs.3371
2025-12-31 20:09,Alice In Borderland (Volume 5),Rs.3484
2025-12-31 20:09,"Alice In Borderland, Vol. 6",Rs.3859
2025-12-31 20:09,"Alice In Borderland, Vol. 7",Rs.3821
2025-12-31 20:09,"Alice In Borderland, Vol. 8",Rs.3859
2025-12-31 20:09,"Alice In Borderland, Vol. 9",Rs.4571
2025-12-31 20:09,Noel: Batman (Volume 1),Rs.3971
2025-12-31 20:09,The Count Of Monte Cristo (Penguin Clothbound Classics),Rs.3259
2025-12-31 20:09,Superior Spider-Man Omnibus Vol. 1,Rs.23884
2025-12-31 20:09,Doctor Strange By Jed Mackay Omnibus,Rs.19609
2025-12-31 20:09,Hawkeye By Fraction & Aja Omnibus [New Printing],Rs.18409
2025-12-31 20:09,Batman: Omnibus (Volume 1),Rs.25121
2025-12-31 20:09,Batman By Jeph Loeb & Tim Sale Omnibus,Rs.23884
2025-12-31 20:09,Batman: Hush 20th Anniversary Edition (Volume 58),Rs.9371
2025-12-31 20:09,Absolute Justice League: The World’S Greatest Super‑Heroes By Alex Ross & Paul Dini (New Edition),Rs.19234
2025-12-31 20:09,Absolute DC: The New Frontier (2025 Edition),Rs.23434
2025-12-31 20:09,Superman By Kurt Busiek Book One,Rs.9521
2025-12-31 20:09,Superman By Kurt Busiek Book Two,Rs.9484
2025-12-31 20:09,Superman: Birthright The Deluxe Edition (Volume 1),Rs.9259
2025-12-31 20:09,Vision: The Complete Collection,Rs.5584
2025-12-31 20:09,Spider-Man By Chip Zdarsky Omnibus,Rs.23846
2025-12-31 20:09,The Batman Who Laughs,Rs.5696
2025-12-31 20:09,Superman Smashes The Klan,Rs.3221
2025-12-31 20:09,Batman By Darwyn Cooke: Absolute Edition,Rs.16496
2025-12-31 20:09,Green Lantern: Earth One (Volume 1),Rs.4721
